序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
35,300947,德必集团,19.974794387817383,19.04,442794048,2876734198.24,2877661731.8399997,15.769017219543457,21162769,094721,144824,3,1/1,1,专业服务,2025-01-02
4,002730,电光科技,10.029282569885254,15.03,909137920,5200829096.4,5442060716.639999,19.24561882019043,112281013,092500,095403,0,9/7,1,专用设备,2025-01-02
54,600579,克劳斯,10.0,13.42,1476576400,6639039857.78,6639039763.84,23.46717071533203,16411318,105721,143839,3,13/8,2,专用设备,2025-01-02
48,002184,海得控制,10.017123222351074,12.85,452878416,3084995926.4,4522022528.8,15.590208053588867,106913400,103615,103615,0,2/2,2,专用设备,2025-01-02
17,603500,祥和实业,10.0,8.47,413552496,2886544796.52,2911539461.6000004,14.403665542602539,12526155,093046,141243,8,1/1,1,交运设备,2025-01-02
38,600191,华资实业,9.971098899841309,7.61,338346320,3690332520.0,3690332520.0,9.584814071655273,35379415,100409,100409,0,2/2,2,农牧饲渔,2025-01-02
29,600811,东方集团,10.047846794128418,2.3,890924560,8415113350.499999,8415113334.4,10.722905158996582,17914679,094101,144452,8,1/1,1,农牧饲渔,2025-01-02
45,605033,美邦股份,9.975062370300293,13.23,44323776,1788696000.0,1788696000.0,2.5226073265075684,62400618,102136,102136,0,1/1,1,农药兽药,2025-01-02
25,600327,大东方,9.94371509552002,5.86,832212656,5184807975.4800005,5184807987.2,16.226030349731445,14238956,093552,144943,5,1/1,1,医疗服务,2025-01-02
56,603068,博通集成,10.018083572387695,30.42,351422112,4575927465.72,4575927465.72,8.127494812011719,41182596,135350,135350,0,1/1,1,半导体,2025-01-02
55,000417,合百集团,10.031347274780273,7.02,639404128,5468772706.0199995,5474787140.16,11.951822280883789,71327840,112912,144048,1,1/1,1,商业百货,2025-01-02
34,601010,文峰股份,10.181818008422852,3.03,230639044,5599440000.0,5599440000.0,4.235368251800537,57633787,094625,094625,0,1/1,1,商业百货,2025-01-02
33,000882,华联股份,10.096153259277344,2.29,632046720,6264327669.14,6268535970.08,10.245315551757812,23793777,094609,145227,3,1/1,1,商业百货,2025-01-02
32,600824,益民集团,10.067113876342773,4.92,970167232,5185813199.16,5185813194.24,19.003293991088867,17445852,094604,144105,12,1/1,1,商业百货,2025-01-02
30,002187,广百股份,10.028247833251953,7.79,509894496,4028294425.14,5484463249.12,12.900513648986816,29081628,094454,134536,3,1/1,1,商业百货,2025-01-02
15,600778,友好集团,10.011000633239746,10.0,360345744,3112148820.0,3114913600.0,11.702017784118652,67669800,093037,093841,4,17/9,3,商业百货,2025-01-02
57,600857,宁波中百,10.0,10.23,405653728,2294792771.37,2294792771.37,18.51395606994629,9646890,144435,144959,1,5/3,1,商业百货,2025-01-02
27,000759,中百集团,10.015290260314941,14.39,1775926944,9435609699.75,9640892705.44,19.203630447387695,157671287,093839,132800,5,23/15,6,商业百货,2025-01-02
21,600693,东百集团,10.0,7.7,456138992,6690936421.400001,6697816048.0,6.905619144439697,142469404,093127,093312,2,17/9,6,商业百货,2025-01-02
52,605299,舒华体育,10.012674331665039,8.68,61282222,3566867617.3199997,3573286989.44,1.7636373043060303,65796092,105308,105308,0,1/1,1,家用轻工,2025-01-02
58,603215,比依股份,9.988248825073242,18.72,414193600,1329728961.6,3528877229.2799997,33.091766357421875,68130316,144914,144914,0,4/2,1,家电行业,2025-01-02
12,002418,康盛股份,9.836065292358398,2.68,409559872,3045552000.0,3045552000.0,13.564627647399902,14820668,093021,112048,3,1/1,1,家电行业,2025-01-02
10,600683,京投发展,10.0,4.18,80966576,3096450355.4599996,3096450368.0,2.619774103164673,31397234,093011,093011,0,1/1,1,房地产开,2025-01-02
6,600322,津投城开,9.926470756530762,2.99,27054516,3306043000.0,3306043000.0,0.818335235118866,202915982,092502,092502,0,1/1,1,房地产开,2025-01-02
13,603682,锦和商管,10.026738166809082,8.23,151322056,3888675000.0,3888675000.0,3.972111940383911,69842825,093022,093022,0,5/3,2,房地产服,2025-01-02
18,002306,中科云网,10.06944465637207,3.17,55529791,2577664536.79,2757147112.32,2.179640293121338,52666063,093048,093048,0,1/1,1,旅游酒店,2025-01-02
41,600255,鑫科材料,9.941520690917969,3.76,2546274000,6791112550.799999,6791112569.599999,38.45195007324219,29411096,101208,144923,12,1/1,1,有色金属,2025-01-02
39,600881,亚泰集团,9.944750785827637,1.99,601341472,6465338040.12,6465338032.16,9.473078727722168,6443620,100448,143957,16,1/1,1,水泥建材,2025-01-02
9,002265,建设工业,10.01289176940918,25.6,2365345552,10319283840.0,26445834240.0,23.029298782348633,111349760,093009,144954,10,2/2,2,汽车零部,2025-01-02
1,000981,山子高科,10.0,2.2,280918672,14355341994.400002,21994436147.2,1.956892967224121,489861004,092500,092500,0,1/1,1,汽车零部,2025-01-02
36,001314,亿道信息,10.0096435546875,57.04,1513111232,2952598824.16,8070524574.4,52.091007232666016,11208360,095233,144539,9,1/1,1,消费电子,2025-01-02
37,000017,深中华A,10.0,6.38,149484808,1933044076.7,4396999840.64,7.995974540710449,25545520,100357,100357,0,1/1,1,珠宝首饰,2025-01-02
20,002693,双成药业,9.983633041381836,20.16,1373563280,8293463055.36,8360145239.04,16.816801071166992,64056968,093127,143024,3,1/1,1,生物制品,2025-01-02
2,002245,蔚蓝锂芯,10.009354591369629,11.76,1259179648,12786192323.52,13548067357.44,9.851663589477539,144555096,092500,134851,2,1/1,1,电池,2025-01-02
24,002364,中恒电气,10.009267807006836,11.87,1545546288,6624699643.45,6689516075.2,24.086740493774414,68410371,093512,142621,3,8/4,1,电源设备,2025-01-02
26,000533,顺钠股份,10.066006660461426,6.67,1297690672,4568299008.0,4607742720.0,29.258989334106445,27000093,093651,102024,5,5/5,5,电网设备,2025-01-02
43,002112,三变科技,10.0,12.32,780954032,3228825600.0,3228825600.0,24.533090591430664,6750128,101730,144042,11,1/1,1,电网设备,2025-01-02
49,002778,中晟高科,10.022909164428711,19.21,175496861,2371115080.9,2396510893.0,7.586082935333252,31249675,103745,103745,0,4/2,1,石油行业,2025-01-02
3,002397,梦洁股份,9.863945960998535,3.23,34212483,1898762602.77,2415334051.2,1.8018304109573364,79818791,092500,092500,0,2/2,2,纺织服装,2025-01-02
40,002269,美邦服饰,9.803921699523926,2.24,794395248,5628000000.000001,5628000000.000001,14.43806266784668,10240608,101200,144327,4,1/1,1,纺织服装,2025-01-02
31,002193,如意集团,10.070671081542969,6.23,107355966,1630478531.5,1630487876.5,6.762607097625732,83903876,094524,094524,0,1/1,1,纺织服装,2025-01-02
19,605080,浙江自然,10.0,25.85,322640576,3659663084.0,3659663084.0,8.860528945922852,7522867,093049,143225,4,2/2,2,纺织服装,2025-01-02
28,000619,海螺新材,10.081300735473633,6.77,141581431,2437200000.0,2986712992.64,5.921439170837402,51925223,094030,094030,0,1/1,1,装修建材,2025-01-02
22,002918,蒙娜丽莎,10.03787899017334,11.62,367117664,2550202868.08,4824408332.799999,14.491996765136719,21278544,093209,135639,2,1/1,1,装修建材,2025-01-02
47,002640,跨境通,9.895833969116211,4.22,1581115376,6021509403.86,6574934404.16,26.798988342285156,33657454,103218,145503,6,1/1,1,贸易行业,2025-01-02
46,300959,线上线下,19.99547004699707,52.99,1042875104,2770063854.81,4258689722.0,39.251529693603516,55810604,102503,144539,2,1/1,1,通信服务,2025-01-02
51,603118,共进股份,10.0,9.79,1042357984,7707436014.74,7707435955.999999,13.875829696655273,98454681,105041,143544,2,1/1,1,通信设备,2025-01-02
5,300615,欣天科技,20.017406463623047,13.79,60246304,1823483375.6299999,2664473462.0,3.303912878036499,120803985,092500,092500,0,1/1,1,通信设备,2025-01-02
7,603617,君禾股份,9.959073066711426,8.06,638028400,3063455576.2200003,3148891632.6400003,21.65146255493164,102725707,092502,144226,1,2/2,2,通用设备,2025-01-02
53,002117,东港股份,10.017123222351074,12.85,1388729008,6727677638.0,6729814336.0,21.451995849609375,50199167,105354,143748,5,4/3,1,造纸印刷,2025-01-02
8,600530,交大昂立,9.937888145446777,5.31,114144305,4114825199.9999995,4114825199.9999995,2.777135133743286,100237528,093000,093000,0,3/3,3,食品饮料,2025-01-02
11,002582,好想你,10.024154663085938,9.11,389951920,3134929756.4199996,4120082915.3599997,12.51246452331543,198653142,093012,093012,0,1/1,1,食品饮料,2025-01-02
50,600186,莲花控股,10.0,6.27,3120894528,11202674465.07,11251967342.88,28.81534767150879,30421413,104418,144454,11,2/2,2,食品饮料,2025-01-02
14,603777,来伊份,9.987030029296875,16.96,301927856,5689400039.68,5708055971.84,5.376183032989502,110558763,093025,093025,0,9/6,2,食品饮料,2025-01-02
42,000716,黑芝麻,10.029069900512695,7.57,851845520,5304236441.52,5703915908.64,16.46880531311035,165975278,101609,101609,0,1/1,1,食品饮料,2025-01-02
23,603719,良品铺子,9.992961883544922,15.63,551403776,6267630000.0,6267630000.0,8.871993064880371,24407808,093508,135550,3,1/1,1,食品饮料,2025-01-02
44,002702,海欣食品,9.976798057556152,4.74,257080886,2189405881.5,2634302400.0,12.105216979980469,54754584,102045,102045,0,1/1,1,食品饮料,2025-01-02
16,002495,佳隆股份,9.842519760131836,2.79,323453392,1991878379.3700001,2610395424.0,16.431766510009766,32150422,093045,144230,5,4/2,1,食品饮料,2025-01-02
